Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,13.260000,13.290000,12.890000,12.920000,12.920000,12280422
2019-01-08,12.770000,12.810000,12.195000,12.340000,12.340000,26759613
2019-01-09,12.460000,12.600000,12.330000,12.450000,12.450000,15226931
2019-01-10,13.800000,13.800000,13.800000,13.800000,13.800000,0
2019-01-11,12.440000,12.680000,12.350000,12.440000,12.440000,14400595
2019-01-14,12.580000,12.630000,12.260000,12.300000,12.300000,16571543
2019-01-15,12.250000,12.330000,11.760000,11.860000,11.860000,15370170
2019-01-16,11.800000,11.930000,11.700000,11.850000,11.850000,10685008
2019-01-17,11.860000,11.990000,11.770000,11.900000,11.900000,8604471
2019-01-18,11.770000,11.920000,11.650000,11.790000,11.790000,13766691
2019-01-22,11.940000,11.980000,11.520000,11.780000,11.780000,15022385
2019-01-23,11.760000,11.880000,11.580000,11.770000,11.770000,9707792
2019-01-24,11.730000,11.900000,11.710000,11.850000,11.850000,11714821
2019-01-25,12.040000,12.290000,12.040000,12.250000,12.250000,13465715
2019-01-28,12.390000,12.560000,12.300000,12.340000,12.340000,12814522
2019-01-29,12.490000,13.000000,12.440000,12.930000,12.930000,18753268
2019-01-30,12.890000,13.290000,12.760000,13.050000,13.050000,17994122
2019-01-31,13.180000,13.400000,13.050000,13.390000,13.390000,20388902
2019-02-01,13.360000,13.400000,13.010000,13.250000,13.250000,12580239
2019-02-04,13.040000,13.380000,13.020000,13.350000,13.350000,11307906
2019-02-05,13.370000,13.400000,13.120000,13.360000,13.360000,8722328
2019-02-06,13.800000,13.800000,13.800000,13.800000,13.800000,0
