name,city,state
Alonzo Mourning,Miami,FL
Charles Oakley,New York,NY
John Stockton,Salt Lake City,UT
Karl Malone,Salt Lake City,UT
Michael Jordan,Chicago,IL
Clyde Drexler,Houston,TX
Hakeem Olajuwan,Houston,TX
Mookie Blaylock,Atlanta,GA
